Stocks;AccRet_20.csv;AccRet_5.csv;Accrual.csv;CapRate.csv;CapexSales.csv;CrescimentoHistoricoEBIT.csv;CrescimentoHistoricoEPS.csv;CrescimentoHistoricoSAL.csv;DividendPayout1Ano.csv;DividendYield.csv;EVAtivoTotal.csv;EVSales.csv;LogMarketCapital.csv;MACD.csv;MargemEBIT.csv;Mom10_40wk.csv;Mom5_30wk.csv;MoneyFlowVolume5.csv;PEG.csv;PrecoBookValue.csv;PrecoLucro.csv;PrecoVenda.csv;ROA.csv;ROE.csv;ROIC.csv;RSI_10.csv;RSI_14.csv;Slope_20.csv;Slope_50.csv;TendenciaCapexAtivoTotal.csv;TendenciaFixedChargeCover.csv;TendenciaIA.csv;TendenciaLeverage.csv;TendenciaMargemCFO.csv;TendenciaMargemEBIT.csv;TendenciaMargemEstoques.csv;TendenciaMargemLucro.csv;TendenciaMargemROA.csv;TendenciaMargemROE.csv;TendenciaMargemSGACOGSSales.csv;TendenciaMargemTurn.csv
ARZZ3;0.37671;-1;0.91381;0.065717;0.41169;0.011477;0.023588;0.26;0.034309;-0.20797;-0.85731;-0.47053;0.25758;-0.20721;0.15291;-0.85346;-1;-1;0.16821;-0.62249;0.16317;-0.49828;1;0.43832;0.99944;0.0046079;-0.25073;0.44258;0.45637;0.35465;0.19991;-0.23148;0.14888;0.21618;0.15291;-0.20736;0.14424;-0.12437;0.031244;0.081419;-1
ASSM3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ASTA4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ATBS3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AUTM3;-0.51273;-0.31792;0.18016;0.097008;-0.062753;-0.026314;-0.069483;0.85266;-0.22807;-0.26256;-0.24401;-0.22879;0.29774;0.11926;0.086139;-0.21044;-0.026501;-0.51505;0.16814;-0.17759;0.19934;-0.25172;0.016962;-0.0066382;0.10704;0.6495;0.539;-0.15602;-0.37208;;;;;;;;;;;;
AVIL3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AZEV4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
BAHI3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
BALM4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
BARB4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
BAUH4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
BBRK3;0.19396;0.23617;0.59881;0.032295;-0.14904;-0.55314;-0.048284;-0.54999;0.28038;0.76386;-0.3623;-0.51103;0.86387;-0.19348;0.15458;-0.27531;-0.087196;0.46936;0.16816;-0.090584;0.23166;-0.51109;0.64753;0.049497;-0.35273;-0.50016;-0.19393;-0.26056;-0.37673;0.63057;-1;0.56834;-0.073372;-0.52124;0.15458;-0.19519;0.17823;0.089499;0.084837;0.19369;-0.13808
BDLL4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
BEEF3;-0.30447;0.65474;-0.69244;0.27879;0.41611;-0.011519;-0.14309;0.38492;-0.62349;-0.81384;-0.1395;0.61255;0.52897;0.10208;0.14198;0.50118;1;0.37883;0.15006;-0.50293;-0.10745;0.84746;-0.97626;-1;0.43418;0.54957;1;-0.24442;-0.79624;0.15901;0.095453;-0.27154;0;;;;;;;;
BEMA3;1;-0.26611;-0.24767;0.33761;0.3878;0.34865;0.23315;-0.1026;0.00025003;0.3583;0.033766;0.2138;1;0.21416;0.18994;1;1;-1;0.16851;0.040576;0.23641;-0.31008;0.45124;-0.0046502;-0.079885;-0.23808;0.27794;0.065196;-0.62718;0.21572;1;0.2393;-0.014692;0.087952;0.18994;0.045346;0.235;0.2927;0.18054;0.17188;0.035794
